Date,Weekday,Open,High,Low,Close
9/4/2010,Saturday,3125000,3125000,3125000,3125000
9/5/2010,Sunday,3120000,3120000,3120000,3120000
9/6/2010,Monday,3120000,3120000,3120000,3120000
9/7/2010,Tuesday,3125000,3125000,3125000,3125000
9/8/2010,Wednesday,3140000,3140000,3140000,3140000
9/11/2010,Saturday,3140000,3140000,3140000,3140000
9/12/2010,Sunday,3130000,3130000,3130000,3130000
9/13/2010,Monday,3125000,3125000,3125000,3125000
9/14/2010,Tuesday,3130000,3130000,3130000,3130000
9/15/2010,Wednesday,3160000,3160000,3160000,3160000
9/17/2010,Friday,3160000,3160000,3160000,3160000
9/18/2010,Saturday,3170000,3170000,3170000,3170000
9/19/2010,Sunday,3210000,3210000,3210000,3210000
9/20/2010,Monday,3250000,3250000,3250000,3250000
9/21/2010,Tuesday,3220000,3220000,3220000,3220000
9/22/2010,Wednesday,3260000,3260000,3260000,3260000
9/24/2010,Friday,3270000,3270000,3270000,3270000
9/25/2010,Saturday,3300000,3300000,3300000,3300000
9/26/2010,Sunday,3350000,3350000,3350000,3350000
9/27/2010,Monday,3360000,3360000,3360000,3360000
9/28/2010,Tuesday,3370000,3370000,3370000,3370000
9/29/2010,Wednesday,3600000,3600000,3600000,3600000
10/1/2010,Friday,3480000,3480000,3480000,3480000
10/2/2010,Saturday,3500000,3500000,3500000,3500000
10/4/2010,Monday,3420000,3420000,3420000,3420000
10/5/2010,Tuesday,3390000,3390000,3390000,3390000
10/6/2010,Wednesday,3480000,3480000,3480000,3480000
10/8/2010,Friday,3480000,3480000,3480000,3480000
10/9/2010,Saturday,3470000,3470000,3470000,3470000
10/10/2010,Sunday,3430000,3430000,3430000,3430000
10/11/2010,Monday,3450000,3450000,3450000,3450000
10/12/2010,Tuesday,3450000,3450000,3450000,3450000
10/13/2010,Wednesday,3450000,3450000,3450000,3450000
10/15/2010,Friday,3520000,3520000,3520000,3520000
10/16/2010,Saturday,3450000,3450000,3450000,3450000
10/17/2010,Sunday,3460000,3460000,3460000,3460000
10/18/2010,Monday,3450000,3450000,3450000,3450000
10/19/2010,Tuesday,3460000,3460000,3460000,3460000
10/22/2010,Friday,3420000,3420000,3420000,3420000
10/23/2010,Saturday,3350000,3350000,3350000,3350000
10/24/2010,Sunday,3350000,3350000,3350000,3350000
10/25/2010,Monday,3360000,3360000,3360000,3360000
10/26/2010,Tuesday,3360000,3360000,3360000,3360000
10/27/2010,Wednesday,3350000,3350000,3350000,3350000
10/29/2010,Friday,3340000,3340000,3340000,3340000
10/30/2010,Saturday,3420000,3420000,3420000,3420000
10/31/2010,Sunday,3400000,3400000,3400000,3400000
11/1/2010,Monday,3400000,3400000,3400000,3400000
11/2/2010,Tuesday,3400000,3400000,3400000,3400000
11/3/2010,Wednesday,3390000,3390000,3390000,3390000
11/5/2010,Friday,3380000,3380000,3380000,3380000
11/6/2010,Saturday,3460000,3460000,3460000,3460000
11/7/2010,Sunday,3460000,3460000,3460000,3460000
11/8/2010,Monday,3460000,3460000,3460000,3460000
11/9/2010,Tuesday,3500000,3500000,3500000,3500000
11/10/2010,Wednesday,3470000,3470000,3470000,3470000
11/12/2010,Friday,3480000,3480000,3480000,3480000
11/13/2010,Saturday,3410000,3410000,3410000,3410000
11/14/2010,Sunday,3420000,3420000,3420000,3420000
11/15/2010,Monday,3420000,3420000,3420000,3420000
11/17/2010,Wednesday,3420000,3420000,3420000,3420000
11/19/2010,Friday,3410000,3410000,3410000,3410000
11/21/2010,Sunday,3400000,3400000,3400000,3400000
11/22/2010,Monday,3410000,3410000,3410000,3410000
11/23/2010,Tuesday,3410000,3410000,3410000,3410000
11/26/2010,Friday,3420000,3420000,3420000,3420000
11/27/2010,Saturday,3400000,3400000,3400000,3400000
11/28/2010,Sunday,3400000,3400000,3400000,3400000
11/29/2010,Monday,3410000,3410000,3410000,3410000
11/30/2010,Tuesday,3410000,3410000,3410000,3410000
12/4/2010,Saturday,3500000,3500000,3500000,3500000
12/5/2010,Sunday,3490000,3490000,3490000,3490000
12/6/2010,Monday,3490000,3490000,3490000,3490000
12/7/2010,Tuesday,3510000,3510000,3510000,3510000
12/8/2010,Wednesday,3500000,3500000,3500000,3500000
12/9/2010,Thursday,3470000,3470000,3470000,3470000
12/11/2010,Saturday,3480000,3480000,3480000,3480000
12/12/2010,Sunday,3480000,3480000,3480000,3480000
12/13/2010,Monday,3480000,3480000,3480000,3480000
12/17/2010,Friday,3490000,3490000,3490000,3490000
12/18/2010,Saturday,3470000,3470000,3470000,3470000
12/19/2010,Sunday,3470000,3470000,3470000,3470000
12/20/2010,Monday,3490000,3490000,3490000,3490000
12/21/2010,Tuesday,3480000,3480000,3480000,3480000
12/22/2010,Wednesday,3500000,3500000,3500000,3500000
12/24/2010,Friday,3500000,3500000,3500000,3500000
12/25/2010,Saturday,3500000,3500000,3500000,3500000
12/26/2010,Sunday,3510000,3510000,3510000,3510000
12/27/2010,Monday,3530000,3530000,3530000,3530000
12/28/2010,Tuesday,3550000,3550000,3550000,3550000
12/29/2010,Wednesday,3600000,3600000,3600000,3600000
12/31/2010,Friday,3650000,3650000,3650000,3650000
1/1/2011,Saturday,3660000,3660000,3660000,3660000
1/2/2011,Sunday,3640000,3640000,3640000,3640000
1/3/2011,Monday,3620000,3620000,3620000,3620000
1/4/2011,Tuesday,3640000,3640000,3640000,3640000
1/5/2011,Wednesday,3600000,3600000,3600000,3600000
1/7/2011,Friday,3600000,3600000,3600000,3600000
1/8/2011,Saturday,3580000,3580000,3580000,3580000
1/9/2011,Sunday,3590000,3590000,3590000,3590000
1/10/2011,Monday,3610000,3610000,3610000,3610000
1/11/2011,Tuesday,3625000,3625000,3625000,3625000
1/12/2011,Wednesday,3670000,3670000,3670000,3670000
1/14/2011,Friday,3650000,3650000,3650000,3650000
1/15/2011,Saturday,3600000,3600000,3600000,3600000
1/16/2011,Sunday,3610000,3610000,3610000,3610000
1/17/2011,Monday,3600000,3600000,3600000,3600000
1/18/2011,Tuesday,3620000,3620000,3620000,3620000
1/19/2011,Wednesday,3610000,3610000,3610000,3610000
1/21/2011,Friday,3600000,3600000,3600000,3600000
1/22/2011,Saturday,3570000,3570000,3570000,3570000
1/23/2011,Sunday,3550000,3550000,3550000,3550000
1/25/2011,Tuesday,3560000,3560000,3560000,3560000
1/26/2011,Wednesday,3540000,3540000,3540000,3540000
1/28/2011,Friday,3570000,3570000,3570000,3570000
1/29/2011,Saturday,3560000,3560000,3560000,3560000
1/30/2011,Sunday,3560000,3560000,3560000,3560000
1/31/2011,Monday,3560000,3560000,3560000,3560000
2/4/2011,Friday,3570000,3570000,3570000,3570000
2/5/2011,Saturday,3600000,3600000,3600000,3600000
2/6/2011,Sunday,3580000,3580000,3580000,3580000
2/7/2011,Monday,3580000,3580000,3580000,3580000
2/8/2011,Tuesday,3570000,3570000,3570000,3570000
2/9/2011,Wednesday,3580000,3580000,3580000,3580000
2/11/2011,Friday,3580000,3580000,3580000,3580000
2/12/2011,Saturday,3580000,3580000,3580000,3580000
2/13/2011,Sunday,3570000,3570000,3570000,3570000
2/14/2011,Monday,3570000,3570000,3570000,3570000
2/15/2011,Tuesday,3570000,3570000,3570000,3570000
2/16/2011,Wednesday,3595000,3595000,3595000,3595000
2/18/2011,Friday,3610000,3610000,3610000,3610000
2/19/2011,Saturday,3630000,3630000,3630000,3630000
2/21/2011,Monday,3620000,3620000,3620000,3620000
2/22/2011,Tuesday,3665000,3665000,3665000,3665000
2/23/2011,Wednesday,3700000,3700000,3700000,3700000
2/25/2011,Friday,3770000,3770000,3770000,3770000
2/26/2011,Saturday,3800000,3800000,3800000,3800000
2/27/2011,Sunday,3840000,3840000,3840000,3840000
2/28/2011,Monday,3970000,3970000,3970000,3970000
3/2/2011,Wednesday,3950000,3950000,3950000,3950000
3/4/2011,Friday,3950000,3950000,3950000,3950000
3/5/2011,Saturday,3900000,3900000,3900000,3900000
3/6/2011,Sunday,3850000,3850000,3850000,3850000
3/7/2011,Monday,3850000,3850000,3850000,3850000
3/8/2011,Tuesday,3850000,3850000,3850000,3850000
3/9/2011,Wednesday,3870000,3870000,3870000,3870000
3/11/2011,Friday,3880000,3880000,3880000,3880000
3/12/2011,Saturday,3840000,3840000,3840000,3840000
3/13/2011,Sunday,3830000,3830000,3830000,3830000
3/14/2011,Monday,3880000,3880000,3880000,3880000
3/15/2011,Tuesday,3860000,3860000,3860000,3860000
3/16/2011,Wednesday,3850000,3850000,3850000,3850000
4/2/2011,Saturday,3930000,3930000,3930000,3930000
4/4/2011,Monday,3930000,3930000,3930000,3930000
4/8/2011,Friday,4020000,4020000,4020000,4020000
4/9/2011,Saturday,4040000,4040000,4040000,4040000
4/10/2011,Sunday,4060000,4060000,4060000,4060000
4/11/2011,Monday,4140000,4140000,4140000,4140000
4/12/2011,Tuesday,4140000,4140000,4140000,4140000
4/13/2011,Wednesday,4190000,4190000,4190000,4190000
4/15/2011,Friday,4200000,4200000,4200000,4200000
4/16/2011,Saturday,4300000,4300000,4300000,4300000
4/17/2011,Sunday,4300000,4300000,4300000,4300000
4/18/2011,Monday,4370000,4370000,4370000,4370000
4/19/2011,Tuesday,4450000,4450000,4450000,4450000
4/20/2011,Wednesday,4300000,4300000,4300000,4300000
4/22/2011,Friday,4200000,4200000,4200000,4200000
4/23/2011,Saturday,4280000,4280000,4280000,4280000
4/24/2011,Sunday,4350000,4350000,4350000,4350000
4/25/2011,Monday,4250000,4250000,4250000,4250000
4/26/2011,Tuesday,4180000,4180000,4180000,4180000
4/27/2011,Wednesday,4160000,4160000,4160000,4160000
4/29/2011,Friday,4230000,4230000,4230000,4230000
4/30/2011,Saturday,4250000,4250000,4250000,4250000
5/1/2011,Sunday,4250000,4250000,4250000,4250000
5/2/2011,Monday,4230000,4230000,4230000,4230000
5/3/2011,Tuesday,4230000,4230000,4230000,4230000
5/4/2011,Wednesday,4220000,4220000,4220000,4220000
5/7/2011,Saturday,4200000,4200000,4200000,4200000
5/8/2011,Sunday,4200000,4200000,4200000,4200000
5/9/2011,Monday,4210000,4210000,4210000,4210000
5/10/2011,Tuesday,4250000,4250000,4250000,4250000
5/11/2011,Wednesday,4270000,4270000,4270000,4270000
5/13/2011,Friday,4250000,4250000,4250000,4250000
5/14/2011,Saturday,4220000,4220000,4220000,4220000
5/15/2011,Sunday,4220000,4220000,4220000,4220000
5/16/2011,Monday,4200000,4200000,4200000,4200000
5/17/2011,Tuesday,4215000,4215000,4215000,4215000
5/18/2011,Wednesday,4200000,4200000,4200000,4200000
5/20/2011,Friday,4210000,4210000,4210000,4210000
5/21/2011,Saturday,4230000,4230000,4230000,4230000
5/22/2011,Sunday,4370000,4370000,4370000,4370000
5/23/2011,Monday,4380000,4380000,4380000,4380000
5/24/2011,Tuesday,4350000,4350000,4350000,4350000
5/27/2011,Friday,4480000,4480000,4480000,4480000
5/28/2011,Saturday,4450000,4450000,4450000,4450000
5/29/2011,Sunday,4400000,4400000,4400000,4400000
5/30/2011,Monday,4380000,4380000,4380000,4380000
5/31/2011,Tuesday,4400000,4400000,4400000,4400000
6/1/2011,Wednesday,4400000,4400000,4400000,4400000
6/5/2011,Sunday,4420000,4420000,4420000,4420000
6/6/2011,Monday,4470000,4470000,4470000,4470000
6/7/2011,Tuesday,4470000,4470000,4470000,4470000
6/8/2011,Wednesday,4550000,4550000,4550000,4550000
6/10/2011,Friday,4600000,4600000,4600000,4600000
6/11/2011,Saturday,4620000,4620000,4620000,4620000
6/12/2011,Sunday,4560000,4560000,4560000,4560000
6/13/2011,Monday,4600000,4600000,4600000,4600000
6/14/2011,Tuesday,4570000,4570000,4570000,4570000
6/17/2011,Friday,4550000,4550000,4550000,4550000
6/18/2011,Saturday,4520000,4520000,4520000,4520000
6/19/2011,Sunday,4480000,4480000,4480000,4480000
6/20/2011,Monday,4470000,4470000,4470000,4470000
6/21/2011,Tuesday,4420000,4420000,4420000,4420000
6/22/2011,Wednesday,4440000,4440000,4440000,4440000
6/25/2011,Saturday,4350000,4350000,4350000,4350000
6/26/2011,Sunday,4280000,4280000,4280000,4280000
6/27/2011,Monday,4280000,4280000,4280000,4280000
6/28/2011,Tuesday,4280000,4280000,4280000,4280000
7/1/2011,Friday,4340000,4340000,4340000,4340000
7/2/2011,Saturday,4310000,4310000,4310000,4310000
7/3/2011,Sunday,4310000,4310000,4310000,4310000
7/4/2011,Monday,4320000,4320000,4320000,4320000
7/5/2011,Tuesday,4320000,4320000,4320000,4320000
7/6/2011,Wednesday,4330000,4330000,4330000,4330000
7/8/2011,Friday,4310000,4310000,4310000,4310000
7/9/2011,Saturday,4300000,4300000,4300000,4300000
7/10/2011,Sunday,4290000,4290000,4290000,4290000
7/11/2011,Monday,4270000,4270000,4270000,4270000
7/12/2011,Tuesday,4260000,4260000,4260000,4260000
7/13/2011,Wednesday,4260000,4260000,4260000,4260000
7/15/2011,Friday,4270000,4270000,4270000,4270000
7/17/2011,Sunday,4280000,4280000,4280000,4280000
7/18/2011,Monday,4290000,4290000,4290000,4290000
7/19/2011,Tuesday,4370000,4370000,4370000,4370000
7/20/2011,Wednesday,4360000,4360000,4360000,4360000
7/22/2011,Friday,4340000,4340000,4340000,4340000
7/23/2011,Saturday,4320000,4320000,4320000,4320000
7/24/2011,Sunday,4280000,4280000,4280000,4280000
7/25/2011,Monday,4320000,4320000,4320000,4320000
7/26/2011,Tuesday,4300000,4300000,4300000,4300000
7/27/2011,Wednesday,4330000,4330000,4330000,4330000
7/29/2011,Friday,4300000,4300000,4300000,4300000
7/30/2011,Saturday,4320000,4320000,4320000,4320000
7/31/2011,Sunday,4310000,4310000,4310000,4310000
8/1/2011,Monday,4300000,4300000,4300000,4300000
8/2/2011,Tuesday,4300000,4300000,4300000,4300000
8/3/2011,Wednesday,4470000,4470000,4470000,4470000
8/5/2011,Friday,4420000,4420000,4420000,4420000
8/6/2011,Saturday,4410000,4410000,4410000,4410000
8/7/2011,Sunday,4440000,4440000,4440000,4440000
8/8/2011,Monday,4600000,4600000,4600000,4600000
8/9/2011,Tuesday,4800000,4800000,4800000,4800000
8/10/2011,Wednesday,4800000,4800000,4800000,4800000
8/12/2011,Friday,4850000,4850000,4850000,4850000
8/13/2011,Saturday,4800000,4800000,4800000,4800000
8/14/2011,Sunday,4750000,4750000,4750000,4750000
8/15/2011,Monday,4720000,4720000,4720000,4720000
8/16/2011,Tuesday,4840000,4840000,4840000,4840000
8/17/2011,Wednesday,4900000,4900000,4900000,4900000
8/19/2011,Friday,4940000,4940000,4940000,4940000
8/20/2011,Saturday,5170000,5170000,5170000,5170000
8/22/2011,Monday,5330000,5330000,5330000,5330000
8/23/2011,Tuesday,5580000,5580000,5580000,5580000
8/24/2011,Wednesday,5570000,5570000,5570000,5570000
8/26/2011,Friday,5220000,5220000,5220000,5220000
8/27/2011,Saturday,5600000,5600000,5600000,5600000
8/28/2011,Sunday,5540000,5540000,5540000,5540000
8/29/2011,Monday,5560000,5560000,5560000,5560000
9/2/2011,Friday,5520000,5520000,5520000,5520000
9/3/2011,Saturday,5650000,5650000,5650000,5650000
9/4/2011,Sunday,5630000,5630000,5630000,5630000
9/5/2011,Monday,5750000,5750000,5750000,5750000
9/6/2011,Tuesday,5960000,5960000,5960000,5960000
9/7/2011,Wednesday,5900000,5900000,5900000,5900000
9/9/2011,Friday,5960000,5960000,5960000,5960000
9/10/2011,Saturday,6050000,6050000,6050000,6050000
9/11/2011,Sunday,6150000,6150000,6150000,6150000
9/12/2011,Monday,6400000,6400000,6400000,6400000
9/13/2011,Tuesday,6100000,6100000,6100000,6100000
9/14/2011,Wednesday,6000000,6000000,6000000,6000000
9/16/2011,Friday,6050000,6050000,6050000,6050000
9/17/2011,Saturday,6100000,6100000,6100000,6100000
9/18/2011,Sunday,6100000,6100000,6100000,6100000
9/19/2011,Monday,6130000,6130000,6130000,6130000
9/20/2011,Tuesday,6100000,6100000,6100000,6100000
9/21/2011,Wednesday,6150000,6150000,6150000,6150000
9/24/2011,Saturday,6100000,6100000,6100000,6100000
9/25/2011,Sunday,5700000,5700000,5700000,5700000
9/26/2011,Monday,5650000,5650000,5650000,5650000
9/27/2011,Tuesday,5900000,5900000,5900000,5900000
9/28/2011,Wednesday,5870000,5870000,5870000,5870000
9/30/2011,Friday,5870000,5870000,5870000,5870000
10/1/2011,Saturday,5900000,5900000,5900000,5900000
10/2/2011,Sunday,5500000,5500000,5500000,5500000
10/3/2011,Monday,5550000,5550000,5550000,5550000
10/4/2011,Tuesday,5750000,5750000,5750000,5750000
10/5/2011,Wednesday,5700000,5700000,5700000,5700000
10/7/2011,Friday,5760000,5760000,5760000,5760000
10/8/2011,Saturday,5700000,5700000,5700000,5700000
10/9/2011,Sunday,5650000,5650000,5650000,5650000
10/10/2011,Monday,5700000,5700000,5700000,5700000
10/11/2011,Tuesday,5650000,5650000,5650000,5650000
10/12/2011,Wednesday,5680000,5680000,5680000,5680000
10/14/2011,Friday,5620000,5620000,5620000,5620000
10/15/2011,Saturday,5650000,5650000,5650000,5650000
10/16/2011,Sunday,5630000,5630000,5630000,5630000
10/17/2011,Monday,5700000,5700000,5700000,5700000
10/18/2011,Tuesday,5700000,5700000,5700000,5700000
10/19/2011,Wednesday,5650000,5650000,5650000,5650000
10/21/2011,Friday,5610000,5610000,5610000,5610000
10/22/2011,Saturday,5640000,5640000,5640000,5640000
10/23/2011,Sunday,5700000,5700000,5700000,5700000
10/24/2011,Monday,5680000,5680000,5680000,5680000
10/25/2011,Tuesday,5670000,5670000,5670000,5670000
10/26/2011,Wednesday,5770000,5770000,5770000,5770000
10/28/2011,Friday,5770000,5770000,5770000,5770000
10/29/2011,Saturday,5880000,5880000,5880000,5880000
10/30/2011,Sunday,5950000,5950000,5950000,5950000
10/31/2011,Monday,5930000,5930000,5930000,5930000
11/1/2011,Tuesday,5900000,5900000,5900000,5900000
11/2/2011,Wednesday,5920000,5920000,5920000,5920000
11/4/2011,Friday,5930000,5930000,5930000,5930000
11/5/2011,Saturday,5910000,5910000,5910000,5910000
11/7/2011,Monday,5920000,5920000,5920000,5920000
11/8/2011,Tuesday,6060000,6060000,6060000,6060000
11/9/2011,Wednesday,6100000,6100000,6100000,6100000
11/11/2011,Friday,6100000,6100000,6100000,6100000
11/12/2011,Saturday,6170000,6170000,6170000,6170000
11/13/2011,Sunday,6180000,6180000,6180000,6180000
11/15/2011,Tuesday,6170000,6170000,6170000,6170000
11/16/2011,Wednesday,6180000,6180000,6180000,6180000
11/18/2011,Friday,6160000,6160000,6160000,6160000
11/19/2011,Saturday,6120000,6120000,6120000,6120000
11/20/2011,Sunday,6050000,6050000,6050000,6050000
11/21/2011,Monday,6000000,6000000,6000000,6000000
11/22/2011,Tuesday,6100000,6100000,6100000,6100000
11/23/2011,Wednesday,6150000,6150000,6150000,6150000
11/25/2011,Friday,6200000,6200000,6200000,6200000
11/26/2011,Saturday,6250000,6250000,6250000,6250000
11/27/2011,Sunday,6270000,6270000,6270000,6270000
11/28/2011,Monday,6050000,6050000,6050000,6050000
11/29/2011,Tuesday,5900000,5900000,5900000,5900000
11/30/2011,Wednesday,6000000,6000000,6000000,6000000
12/2/2011,Friday,6250000,6250000,6250000,6250000
12/3/2011,Saturday,6200000,6200000,6200000,6200000
12/6/2011,Tuesday,6090000,6090000,6090000,6090000
12/7/2011,Wednesday,6000000,6000000,6000000,6000000
12/9/2011,Friday,5900000,5900000,5900000,5900000
12/10/2011,Saturday,5890000,5890000,5890000,5890000
12/11/2011,Sunday,5800000,5800000,5800000,5800000
12/12/2011,Monday,5870000,5870000,5870000,5870000
12/13/2011,Tuesday,5930000,5930000,5930000,5930000
12/14/2011,Wednesday,5850000,5850000,5850000,5850000
12/16/2011,Friday,5960000,5960000,5960000,5960000
12/17/2011,Saturday,6120000,6120000,6120000,6120000
12/18/2011,Sunday,6100000,6100000,6100000,6100000
12/19/2011,Monday,6220000,6220000,6220000,6220000
12/20/2011,Tuesday,6150000,6150000,6150000,6150000
12/21/2011,Wednesday,6020000,6020000,6020000,6020000
12/23/2011,Friday,6050000,6050000,6050000,6050000
12/24/2011,Saturday,6120000,6120000,6120000,6120000
12/25/2011,Sunday,6150000,6150000,6150000,6150000
12/26/2011,Monday,6080000,6080000,6080000,6080000
12/27/2011,Tuesday,6060000,6060000,6060000,6060000
12/28/2011,Wednesday,6020000,6020000,6020000,6020000
12/30/2011,Friday,6130000,6130000,6130000,6130000
12/31/2011,Saturday,6130000,6130000,6130000,6130000
1/1/2012,Sunday,6210000,6210000,6210000,6210000
1/2/2012,Monday,6140000,6140000,6140000,6140000
1/3/2012,Tuesday,6130000,6130000,6130000,6130000
1/4/2012,Wednesday,6170000,6170000,6170000,6170000
1/6/2012,Friday,6170000,6170000,6170000,6170000
1/7/2012,Saturday,6210000,6210000,6210000,6210000
1/8/2012,Sunday,6350000,6350000,6350000,6350000
1/9/2012,Monday,6600000,6600000,6600000,6600000
1/10/2012,Tuesday,6690000,6690000,6690000,6690000
1/11/2012,Wednesday,6670000,6670000,6670000,6670000
1/14/2012,Saturday,6700000,6700000,6700000,6700000
1/15/2012,Sunday,6950000,6950000,6950000,6950000
1/16/2012,Monday,7530000,7530000,7530000,7530000
1/17/2012,Tuesday,7720000,7720000,7720000,7720000
1/18/2012,Wednesday,7810000,7810000,7810000,7810000
